Date,GS10
4/1/1953,2.83
5/1/1953,3.05
6/1/1953,3.11
7/1/1953,2.93
8/1/1953,2.95
9/1/1953,2.87
10/1/1953,2.66
11/1/1953,2.68
12/1/1953,2.59
1/1/1954,2.48
2/1/1954,2.47
3/1/1954,2.37
4/1/1954,2.29
5/1/1954,2.37
6/1/1954,2.38
7/1/1954,2.3
8/1/1954,2.36
9/1/1954,2.38
10/1/1954,2.43
11/1/1954,2.48
12/1/1954,2.51
1/1/1955,2.61
2/1/1955,2.65
3/1/1955,2.68
4/1/1955,2.75
5/1/1955,2.76
6/1/1955,2.78
7/1/1955,2.9
8/1/1955,2.97
9/1/1955,2.97
10/1/1955,2.88
11/1/1955,2.89
12/1/1955,2.96
1/1/1956,2.9
2/1/1956,2.84
3/1/1956,2.96
4/1/1956,3.18
5/1/1956,3.07
6/1/1956,3
7/1/1956,3.11
8/1/1956,3.33
9/1/1956,3.38
10/1/1956,3.34
11/1/1956,3.49
12/1/1956,3.59
1/1/1957,3.46
2/1/1957,3.34
3/1/1957,3.41
4/1/1957,3.48
5/1/1957,3.6
6/1/1957,3.8
7/1/1957,3.93
8/1/1957,3.93
9/1/1957,3.92
10/1/1957,3.97
11/1/1957,3.72
12/1/1957,3.21
1/1/1958,3.09
2/1/1958,3.05
3/1/1958,2.98
4/1/1958,2.88
5/1/1958,2.92
6/1/1958,2.97
7/1/1958,3.2
8/1/1958,3.54
9/1/1958,3.76
10/1/1958,3.8
11/1/1958,3.74
12/1/1958,3.86
1/1/1959,4.02
2/1/1959,3.96
3/1/1959,3.99
4/1/1959,4.12
5/1/1959,4.31
6/1/1959,4.34
7/1/1959,4.4
8/1/1959,4.43
9/1/1959,4.68
10/1/1959,4.53
11/1/1959,4.53
12/1/1959,4.69
1/1/1960,4.72
2/1/1960,4.49
3/1/1960,4.25
4/1/1960,4.28
5/1/1960,4.35
6/1/1960,4.15
7/1/1960,3.9
8/1/1960,3.8
9/1/1960,3.8
10/1/1960,3.89
11/1/1960,3.93
12/1/1960,3.84
1/1/1961,3.84
2/1/1961,3.78
3/1/1961,3.74
4/1/1961,3.78
5/1/1961,3.71
6/1/1961,3.88
7/1/1961,3.92
8/1/1961,4.04
9/1/1961,3.98
10/1/1961,3.92
11/1/1961,3.94
12/1/1961,4.06
1/1/1962,4.08
2/1/1962,4.04
3/1/1962,3.93
4/1/1962,3.84
5/1/1962,3.87
6/1/1962,3.91
7/1/1962,4.01
8/1/1962,3.98
9/1/1962,3.98
10/1/1962,3.93
11/1/1962,3.92
12/1/1962,3.86
1/1/1963,3.83
2/1/1963,3.92
3/1/1963,3.93
4/1/1963,3.97
5/1/1963,3.93
6/1/1963,3.99
7/1/1963,4.02
8/1/1963,4
9/1/1963,4.08
10/1/1963,4.11
11/1/1963,4.12
12/1/1963,4.13
1/1/1964,4.17
2/1/1964,4.15
3/1/1964,4.22
4/1/1964,4.23
5/1/1964,4.2
6/1/1964,4.17
7/1/1964,4.19
8/1/1964,4.19
9/1/1964,4.2
10/1/1964,4.19
11/1/1964,4.15
12/1/1964,4.18
1/1/1965,4.19
2/1/1965,4.21
3/1/1965,4.21
4/1/1965,4.2
5/1/1965,4.21
6/1/1965,4.21
7/1/1965,4.2
8/1/1965,4.25
9/1/1965,4.29
10/1/1965,4.35
11/1/1965,4.45
12/1/1965,4.62
1/1/1966,4.61
2/1/1966,4.83
3/1/1966,4.87
4/1/1966,4.75
5/1/1966,4.78
6/1/1966,4.81
7/1/1966,5.02
8/1/1966,5.22
9/1/1966,5.18
10/1/1966,5.01
11/1/1966,5.16
12/1/1966,4.84
1/1/1967,4.58
2/1/1967,4.63
3/1/1967,4.54
4/1/1967,4.59
5/1/1967,4.85
6/1/1967,5.02
7/1/1967,5.16
8/1/1967,5.28
9/1/1967,5.3
10/1/1967,5.48
11/1/1967,5.75
12/1/1967,5.7
1/1/1968,5.53
2/1/1968,5.56
3/1/1968,5.74
4/1/1968,5.64
5/1/1968,5.87
6/1/1968,5.72
7/1/1968,5.5
8/1/1968,5.42
9/1/1968,5.46
10/1/1968,5.58
11/1/1968,5.7
12/1/1968,6.03
1/1/1969,6.04
2/1/1969,6.19
3/1/1969,6.3
4/1/1969,6.17
5/1/1969,6.32
6/1/1969,6.57
7/1/1969,6.72
8/1/1969,6.69
9/1/1969,7.16
10/1/1969,7.1
11/1/1969,7.14
12/1/1969,7.65
1/1/1970,7.79
2/1/1970,7.24
3/1/1970,7.07
4/1/1970,7.39
5/1/1970,7.91
6/1/1970,7.84
7/1/1970,7.46
8/1/1970,7.53
9/1/1970,7.39
10/1/1970,7.33
11/1/1970,6.84
12/1/1970,6.39
1/1/1971,6.24
2/1/1971,6.11
3/1/1971,5.7
4/1/1971,5.83
5/1/1971,6.39
6/1/1971,6.52
7/1/1971,6.73
8/1/1971,6.58
9/1/1971,6.14
10/1/1971,5.93
11/1/1971,5.81
12/1/1971,5.93
1/1/1972,5.95
2/1/1972,6.08
3/1/1972,6.07
4/1/1972,6.19
5/1/1972,6.13
6/1/1972,6.11
7/1/1972,6.11
8/1/1972,6.21
9/1/1972,6.55
10/1/1972,6.48
11/1/1972,6.28
12/1/1972,6.36
1/1/1973,6.46
2/1/1973,6.64
3/1/1973,6.71
4/1/1973,6.67
5/1/1973,6.85
6/1/1973,6.9
7/1/1973,7.13
8/1/1973,7.4
9/1/1973,7.09
10/1/1973,6.79
11/1/1973,6.73
12/1/1973,6.74
1/1/1974,6.99
2/1/1974,6.96
3/1/1974,7.21
4/1/1974,7.51
5/1/1974,7.58
6/1/1974,7.54
7/1/1974,7.81
8/1/1974,8.04
9/1/1974,8.04
10/1/1974,7.9
11/1/1974,7.68
12/1/1974,7.43
1/1/1975,7.5
2/1/1975,7.39
3/1/1975,7.73
4/1/1975,8.23
5/1/1975,8.06
6/1/1975,7.86
7/1/1975,8.06
8/1/1975,8.4
9/1/1975,8.43
10/1/1975,8.14
11/1/1975,8.05
12/1/1975,8
1/1/1976,7.74
2/1/1976,7.79
3/1/1976,7.73
4/1/1976,7.56
5/1/1976,7.9
6/1/1976,7.86
7/1/1976,7.83
8/1/1976,7.77
9/1/1976,7.59
10/1/1976,7.41
11/1/1976,7.29
12/1/1976,6.87
1/1/1977,7.21
2/1/1977,7.39
3/1/1977,7.46
4/1/1977,7.37
5/1/1977,7.46
6/1/1977,7.28
7/1/1977,7.33
8/1/1977,7.4
9/1/1977,7.34
10/1/1977,7.52
11/1/1977,7.58
12/1/1977,7.69
1/1/1978,7.96
2/1/1978,8.03
3/1/1978,8.04
4/1/1978,8.15
5/1/1978,8.35
6/1/1978,8.46
7/1/1978,8.64
8/1/1978,8.41
9/1/1978,8.42
10/1/1978,8.64
11/1/1978,8.81
12/1/1978,9.01
1/1/1979,9.1
2/1/1979,9.1
3/1/1979,9.12
4/1/1979,9.18
5/1/1979,9.25
6/1/1979,8.91
7/1/1979,8.95
8/1/1979,9.03
9/1/1979,9.33
10/1/1979,10.3
11/1/1979,10.65
12/1/1979,10.39
1/1/1980,10.8
2/1/1980,12.41
3/1/1980,12.75
4/1/1980,11.47
5/1/1980,10.18
6/1/1980,9.78
7/1/1980,10.25
8/1/1980,11.1
9/1/1980,11.51
10/1/1980,11.75
11/1/1980,12.68
12/1/1980,12.84
1/1/1981,12.57
2/1/1981,13.19
3/1/1981,13.12
4/1/1981,13.68
5/1/1981,14.1
6/1/1981,13.47
7/1/1981,14.28
8/1/1981,14.94
9/1/1981,15.32
10/1/1981,15.15
11/1/1981,13.39
12/1/1981,13.72
1/1/1982,14.59
2/1/1982,14.43
3/1/1982,13.86
4/1/1982,13.87
5/1/1982,13.62
6/1/1982,14.3
7/1/1982,13.95
8/1/1982,13.06
9/1/1982,12.34
10/1/1982,10.91
11/1/1982,10.55
12/1/1982,10.54
1/1/1983,10.46
2/1/1983,10.72
3/1/1983,10.51
4/1/1983,10.4
5/1/1983,10.38
6/1/1983,10.85
7/1/1983,11.38
8/1/1983,11.85
9/1/1983,11.65
10/1/1983,11.54
11/1/1983,11.69
12/1/1983,11.83
1/1/1984,11.67
2/1/1984,11.84
3/1/1984,12.32
4/1/1984,12.63
5/1/1984,13.41
6/1/1984,13.56
7/1/1984,13.36
8/1/1984,12.72
9/1/1984,12.52
10/1/1984,12.16
11/1/1984,11.57
12/1/1984,11.5
1/1/1985,11.38
2/1/1985,11.51
3/1/1985,11.86
4/1/1985,11.43
5/1/1985,10.85
6/1/1985,10.16
7/1/1985,10.31
8/1/1985,10.33
9/1/1985,10.37
10/1/1985,10.24
11/1/1985,9.78
12/1/1985,9.26
1/1/1986,9.19
2/1/1986,8.7
3/1/1986,7.78
4/1/1986,7.3
5/1/1986,7.71
6/1/1986,7.8
7/1/1986,7.3
8/1/1986,7.17
9/1/1986,7.45
10/1/1986,7.43
11/1/1986,7.25
12/1/1986,7.11
1/1/1987,7.08
2/1/1987,7.25
3/1/1987,7.25
4/1/1987,8.02
5/1/1987,8.61
6/1/1987,8.4
7/1/1987,8.45
8/1/1987,8.76
9/1/1987,9.42
10/1/1987,9.52
11/1/1987,8.86
12/1/1987,8.99
1/1/1988,8.67
2/1/1988,8.21
3/1/1988,8.37
4/1/1988,8.72
5/1/1988,9.09
6/1/1988,8.92
7/1/1988,9.06
8/1/1988,9.26
9/1/1988,8.98
10/1/1988,8.8
11/1/1988,8.96
12/1/1988,9.11
1/1/1989,9.09
2/1/1989,9.17
3/1/1989,9.36
4/1/1989,9.18
5/1/1989,8.86
6/1/1989,8.28
7/1/1989,8.02
8/1/1989,8.11
9/1/1989,8.19
10/1/1989,8.01
11/1/1989,7.87
12/1/1989,7.84
1/1/1990,8.21
2/1/1990,8.47
3/1/1990,8.59
4/1/1990,8.79
5/1/1990,8.76
6/1/1990,8.48
7/1/1990,8.47
8/1/1990,8.75
9/1/1990,8.89
10/1/1990,8.72
11/1/1990,8.39
12/1/1990,8.08
1/1/1991,8.09
2/1/1991,7.85
3/1/1991,8.11
4/1/1991,8.04
5/1/1991,8.07
6/1/1991,8.28
7/1/1991,8.27
8/1/1991,7.9
9/1/1991,7.65
10/1/1991,7.53
11/1/1991,7.42
12/1/1991,7.09
1/1/1992,7.03
2/1/1992,7.34
3/1/1992,7.54
4/1/1992,7.48
5/1/1992,7.39
6/1/1992,7.26
7/1/1992,6.84
8/1/1992,6.59
9/1/1992,6.42
10/1/1992,6.59
11/1/1992,6.87
12/1/1992,6.77
1/1/1993,6.6
2/1/1993,6.26
3/1/1993,5.98
4/1/1993,5.97
5/1/1993,6.04
6/1/1993,5.96
7/1/1993,5.81
8/1/1993,5.68
9/1/1993,5.36
10/1/1993,5.33
11/1/1993,5.72
12/1/1993,5.77
1/1/1994,5.75
2/1/1994,5.97
3/1/1994,6.48
4/1/1994,6.97
5/1/1994,7.18
6/1/1994,7.1
7/1/1994,7.3
8/1/1994,7.24
9/1/1994,7.46
10/1/1994,7.74
11/1/1994,7.96
12/1/1994,7.81
1/1/1995,7.78
2/1/1995,7.47
3/1/1995,7.2
4/1/1995,7.06
5/1/1995,6.63
6/1/1995,6.17
7/1/1995,6.28
8/1/1995,6.49
9/1/1995,6.2
10/1/1995,6.04
11/1/1995,5.93
12/1/1995,5.71
1/1/1996,5.65
2/1/1996,5.81
3/1/1996,6.27
4/1/1996,6.51
5/1/1996,6.74
6/1/1996,6.91
7/1/1996,6.87
8/1/1996,6.64
9/1/1996,6.83
10/1/1996,6.53
11/1/1996,6.2
12/1/1996,6.3
1/1/1997,6.58
2/1/1997,6.42
3/1/1997,6.69
4/1/1997,6.89
5/1/1997,6.71
6/1/1997,6.49
7/1/1997,6.22
8/1/1997,6.3
9/1/1997,6.21
10/1/1997,6.03
11/1/1997,5.88
12/1/1997,5.81
1/1/1998,5.54
2/1/1998,5.57
3/1/1998,5.65
4/1/1998,5.64
5/1/1998,5.65
6/1/1998,5.5
7/1/1998,5.46
8/1/1998,5.34
9/1/1998,4.81
10/1/1998,4.53
11/1/1998,4.83
12/1/1998,4.65
1/1/1999,4.72
2/1/1999,5
3/1/1999,5.23
4/1/1999,5.18
5/1/1999,5.54
6/1/1999,5.9
7/1/1999,5.79
8/1/1999,5.94
9/1/1999,5.92
10/1/1999,6.11
11/1/1999,6.03
12/1/1999,6.28
1/1/2000,6.66
2/1/2000,6.52
3/1/2000,6.26
4/1/2000,5.99
5/1/2000,6.44
6/1/2000,6.1
7/1/2000,6.05
8/1/2000,5.83
9/1/2000,5.8
10/1/2000,5.74
11/1/2000,5.72
12/1/2000,5.24
1/1/2001,5.16
2/1/2001,5.1
3/1/2001,4.89
4/1/2001,5.14
5/1/2001,5.39
6/1/2001,5.28
7/1/2001,5.24
8/1/2001,4.97
9/1/2001,4.73
10/1/2001,4.57
11/1/2001,4.65
12/1/2001,5.09
1/1/2002,5.04
2/1/2002,4.91
3/1/2002,5.28
4/1/2002,5.21
5/1/2002,5.16
6/1/2002,4.93
7/1/2002,4.65
8/1/2002,4.26
9/1/2002,3.87
10/1/2002,3.94
11/1/2002,4.05
12/1/2002,4.03
1/1/2003,4.05
2/1/2003,3.9
3/1/2003,3.81
4/1/2003,3.96
5/1/2003,3.57
6/1/2003,3.33
7/1/2003,3.98
8/1/2003,4.45
9/1/2003,4.27
10/1/2003,4.29
11/1/2003,4.3
12/1/2003,4.27
1/1/2004,4.15
2/1/2004,4.08
3/1/2004,3.83
4/1/2004,4.35
5/1/2004,4.72
6/1/2004,4.73
7/1/2004,4.5
8/1/2004,4.28
9/1/2004,4.13
10/1/2004,4.1
11/1/2004,4.19
12/1/2004,4.23
1/1/2005,4.22
2/1/2005,4.17
3/1/2005,4.5
4/1/2005,4.34
5/1/2005,4.14
6/1/2005,4
7/1/2005,4.18
8/1/2005,4.26
9/1/2005,4.2
10/1/2005,4.46
11/1/2005,4.54
12/1/2005,4.47
1/1/2006,4.42
2/1/2006,4.57
3/1/2006,4.72
4/1/2006,4.99
5/1/2006,5.11
6/1/2006,5.11
7/1/2006,5.09
8/1/2006,4.88
9/1/2006,4.72
10/1/2006,4.73
11/1/2006,4.6
12/1/2006,4.56
1/1/2007,4.76
2/1/2007,4.72
3/1/2007,4.56
4/1/2007,4.69
5/1/2007,4.75
6/1/2007,5.1
7/1/2007,5
8/1/2007,4.67
9/1/2007,4.52
10/1/2007,4.53
11/1/2007,4.15
12/1/2007,4.1
1/1/2008,3.74
2/1/2008,3.74
3/1/2008,3.51
4/1/2008,3.68
5/1/2008,3.88
6/1/2008,4.1
7/1/2008,4.01
8/1/2008,3.89
9/1/2008,3.69
10/1/2008,3.81
11/1/2008,3.53
12/1/2008,2.42
1/1/2009,2.52
2/1/2009,2.87
3/1/2009,2.82
4/1/2009,2.93
5/1/2009,3.29
6/1/2009,3.72
7/1/2009,3.56
8/1/2009,3.59
9/1/2009,3.4
10/1/2009,3.39
11/1/2009,3.4
12/1/2009,3.59
1/1/2010,3.73
2/1/2010,3.69
3/1/2010,3.73
4/1/2010,3.85
5/1/2010,3.42
6/1/2010,3.2
7/1/2010,3.01
8/1/2010,2.7
9/1/2010,2.65
10/1/2010,2.54
11/1/2010,2.76
12/1/2010,3.29
1/1/2011,3.39
2/1/2011,3.58
3/1/2011,3.41
4/1/2011,3.46
5/1/2011,3.17
6/1/2011,3
7/1/2011,3
8/1/2011,2.3
9/1/2011,1.98
10/1/2011,2.15
11/1/2011,2.01
12/1/2011,1.98
1/1/2012,1.97
2/1/2012,1.97
3/1/2012,2.17
4/1/2012,2.05
5/1/2012,1.8
6/1/2012,1.62
7/1/2012,1.53
8/1/2012,1.68
9/1/2012,1.72
10/1/2012,1.75
11/1/2012,1.65
12/1/2012,1.72
1/1/2013,1.91
2/1/2013,1.98
3/1/2013,1.96
4/1/2013,1.76
5/1/2013,1.93
6/1/2013,2.3
7/1/2013,2.58
8/1/2013,2.74
9/1/2013,2.81
10/1/2013,2.62
11/1/2013,2.72
12/1/2013,2.9
1/1/2014,2.86
2/1/2014,2.71
3/1/2014,2.72
4/1/2014,2.71
5/1/2014,2.56
6/1/2014,2.6
7/1/2014,2.54
8/1/2014,2.42
9/1/2014,2.53
10/1/2014,2.3
11/1/2014,2.33
12/1/2014,2.21
1/1/2015,1.88
2/1/2015,1.98
3/1/2015,2.04
4/1/2015,1.94
5/1/2015,2.2
6/1/2015,2.36
7/1/2015,2.32
8/1/2015,2.17
9/1/2015,2.17
10/1/2015,2.07
11/1/2015,2.26
12/1/2015,2.24
1/1/2016,2.09
2/1/2016,1.78
3/1/2016,1.89
4/1/2016,1.81
5/1/2016,1.81
6/1/2016,1.64
7/1/2016,1.5
8/1/2016,1.56
9/1/2016,1.63
10/1/2016,1.76
11/1/2016,2.14
12/1/2016,2.49
1/1/2017,2.43
2/1/2017,2.42
3/1/2017,2.48
4/1/2017,2.3
5/1/2017,2.3
6/1/2017,2.19
7/1/2017,2.32
8/1/2017,2.21
9/1/2017,2.2
10/1/2017,2.36
11/1/2017,2.35
12/1/2017,2.4
1/1/2018,2.58
2/1/2018,2.86
3/1/2018,2.84
4/1/2018,2.87
5/1/2018,2.98
6/1/2018,2.91
7/1/2018,2.89
8/1/2018,2.89
9/1/2018,3
10/1/2018,3.15
11/1/2018,3.12
12/1/2018,2.83
1/1/2019,2.71
2/1/2019,2.68
3/1/2019,2.57
